Packet Number ; Protocol ;Protocol Message ; 
1;UDP;REGISTER sip:domain.xyz SIP/2.0
2;UDP;SIP/2.0 200 OK
25;UDP;INVITE sip:telephone2@domain.xyz SIP/2.0
27;UDP;SIP/2.0 100 Trying
29;UDP;SIP/2.0 180 Ringing
31;UDP;SIP/2.0 180 Ringing
33;UDP;SIP/2.0 180 Ringing
35;UDP;SIP/2.0 180 Ringing
37;UDP;SIP/2.0 200 OK
642;UDP;REGISTER sip:domain.xyz SIP/2.0
643;UDP;SIP/2.0 200 OK
3;UDP;REGISTER sip:domain.xyz SIP/2.0
4;UDP;SIP/2.0 200 OK
5;UDP;SUBSCRIBE sip:telephone2@domain.xyz SIP/2.0
6;UDP;SUBSCRIBE sip:telephone2@domain.xyz SIP/2.0
7;UDP;SUBSCRIBE sip:telephone2@172.16.98.1:5060|transport=udp|registering_acc=domain_xyz SIP/2.0
8;UDP;OPTIONS sip:domain.xyz SIP/2.0
9;UDP;SUBSCRIBE sip:telephone2@172.16.98.1:5060|transport=udp|registering_acc=domain_xyz SIP/2.0
10;UDP;SIP/2.0 501 Not implemented
11;UDP;SIP/2.0 200 OK
12;UDP;SIP/2.0 501 Not implemented
13;UDP;SIP/2.0 501 Not implemented
14;UDP;PUBLISH sip:telephone2@domain.xyz SIP/2.0
15;UDP;SIP/2.0 501 Not implemented
16;UDP;PUBLISH sip:telephone2@172.16.98.1:5060|transport=udp|registering_acc=domain_xyz SIP/2.0
17;UDP;SIP/2.0 501 Not implemented
18;UDP;SIP/2.0 501 Not implemented
19;UDP;OPTIONS sip:domain.xyz SIP/2.0
20;UDP;SIP/2.0 200 OK
21;UDP;OPTIONS sip:domain.xyz SIP/2.0
22;UDP;SIP/2.0 200 OK
23;UDP;OPTIONS sip:domain.xyz SIP/2.0
24;UDP;SIP/2.0 200 OK
26;UDP;INVITE sip:telephone2@172.16.98.1:5060|transport=udp|registering_acc=domain_xyz SIP/2.0
28;UDP;SIP/2.0 180 Ringing
30;UDP;SIP/2.0 180 Ringing
32;UDP;SIP/2.0 180 Ringing
34;UDP;SIP/2.0 180 Ringing
36;UDP;SIP/2.0 200 OK
393;UDP;OPTIONS sip:domain.xyz SIP/2.0
394;UDP;SIP/2.0 200 OK
638;UDP;OPTIONS sip:domain.xyz SIP/2.0
